cumulative_wall_seconds,epoch,epoch_wall_seconds,global_step,lr,train_neg_dy_mse_loss,train_neg_dy_weight,train_total_mse_loss,train_y_mse_loss,train_y_weight,val_checkpoint_score,val_checkpoint_score_raw,val_neg_dy_l1_loss,val_neg_dy_mse_loss,val_total_l1_loss,val_total_mse_loss,val_y_l1_loss,val_y_mse_loss
14862.453544534743,56.0,254.78675053454936,2320,7.999999797903001e-05,1.5557633638381958,0.25,944.4153442382812,1258.701904296875,0.75,16.300140380859375,16.300140380859375,0.7327511310577393,1.486733317375183,12.913531303405762,223.6878204345703,16.973791122436523,297.7548522949219
15117.261995421723,57.0,254.8084508869797,2360,7.999999797903001e-05,1.5495116710662842,0.25,938.3328247070312,1250.5938720703125,0.75,32.44780731201172,32.44780731201172,0.7197117209434509,1.4671783447265625,18.737878799438477,466.1766662597656,24.743932723999023,621.0797729492188
15373.874266805127,58.0,256.61227138340473,2400,7.999999797903001e-05,1.7090829610824585,0.25,3691.80224609375,4921.8330078125,0.75,217.16119384765625,217.16119384765625,0.6976457834243774,1.4279199838638306,49.39646530151367,3237.4267578125,65.62940979003906,4316.09326171875
15629.272087700665,59.0,255.39782089553773,2440,7.999999797903001e-05,1.4929877519607544,0.25,1233.101318359375,1643.637451171875,0.75,30.392763137817383,30.392763137817383,0.7192074656486511,1.5053479671478271,17.98723030090332,434.8166198730469,23.74323844909668,579.253662109375
15884.442497862503,60.0,255.17041016183794,2480,6.399999983841553e-05,1.9203612804412842,0.25,865.0333862304688,1152.7376708984375,0.75,5.80702018737793,5.80702018737793,0.8295686841011047,1.7721203565597534,6.515595436096191,62.29560470581055,8.410937309265137,82.47010803222656
16140.056672124192,61.0,255.6141742616892,2520,6.399999983841553e-05,1.6289641857147217,0.25,728.7322387695312,971.0999755859375,0.75,9.674015045166016,9.674015045166016,0.7244921922683716,1.5232208967208862,9.43515396118164,123.7851333618164,12.338708877563477,164.5391082763672
16395.02680123411,62.0,254.97012910991907,2560,6.399999983841553e-05,1.6375349760055542,0.25,704.2354125976562,938.4346923828125,0.75,6.3856682777404785,6.3856682777404785,0.7609447836875916,1.604258418083191,7.203761577606201,73.32540893554688,9.351366996765137,97.23245239257812
16651.9628837388,63.0,256.9360825046897,2600,6.399999983841553e-05,1.654733419418335,0.25,696.7362670898438,928.43017578125,0.75,2.0363831520080566,2.0363831520080566,0.7617148756980896,1.6049171686172485,1.8980244398117065,8.07690715789795,2.27679443359375,10.234236717224121
16916.00855385512,64.0,264.04567011632025,2640,6.399999983841553e-05,1.5909346342086792,0.25,779.3961791992188,1038.6644287109375,0.75,40.56002426147461,40.56002426147461,0.8184248805046082,1.713343858718872,20.985830307006836,584.4135131835938,27.708301544189453,778.6469116210938
17171.015714153647,65.0,255.0071602985263,2680,6.399999983841553e-05,1.9730385541915894,0.25,793.8193969726562,1057.7681884765625,0.75,5.1361613273620605,5.1361613273620605,0.7793425917625427,1.6181720495224,6.13778018951416,54.38801193237305,7.923925876617432,71.97795867919922
17434.364705245942,66.0,263.34899109229445,2720,6.399999983841553e-05,1.6285995244979858,0.25,688.463134765625,917.4078979492188,0.75,35.38916778564453,35.38916778564453,0.7406517863273621,1.5333856344223022,19.5487117767334,509.3701171875,25.81806755065918,678.6490478515625
17691.983626049012,67.0,257.61892080307007,2760,6.399999983841553e-05,1.6056907176971436,0.25,837.4737548828125,1116.096435546875,0.75,107.56098937988281,107.56098937988281,0.7954241633415222,1.6321203708648682,34.638057708740234,1590.5650634765625,45.9189338684082,2120.20947265625
17947.187909232453,68.0,255.20428318344057,2800,6.399999983841553e-05,1.7041683197021484,0.25,1033.6556396484375,1377.639404296875,0.75,201.24278259277344,201.24278259277344,0.8098980784416199,1.6638256311416626,47.54503631591797,2995.34765625,63.1234130859375,3993.242919921875
